"URL_ALIAS_ID";"QUERY";"KEYWORD"
"";"product_id=20376";"android-phones/5-inch-android-phones/mfox-a7w-rugged-android-smartphone.html"
"";"product_id=20373";"android-tv-box-stick/android-tv-box/mx-plus-ii-android-tv-box.html"
"";"product_id=20346";"android-tv-box-stick/android-tv-box/q-box-4k-tv-box.html"
"";"product_id=20328";"car-accessories/car-gadgets/bluetooth-car-fm-transmitter.html"
"";"product_id=20356";"computer-accessories/usb-pc-accessories/minix-neo-c-type-c-multiport-adapter-gray.html"
"";"product_id=20355";"computer-accessories/usb-pc-accessories/minix-neo-c-type-c-multiport-adapter-gold.html"
"";"product_id=20314";"health-lifestyle/health-fitness-gadgets/dfit-smart-sports-bracelet-black.html"
"";"product_id=20313";"health-lifestyle/health-fitness-gadgets/dfit-smart-sports-bracelet-white.html"
"";"product_id=20312";"health-lifestyle/health-fitness-gadgets/dfit-smart-sports-bracelet-purple.html"
"";"product_id=20311";"health-lifestyle/health-fitness-gadgets/dfit-smart-sports-bracelet-pink.html"